,관할보건소,동,설치기관이름,설치기관주소,기관연락처,설치 위치,경도,위도
282,북구,두암동,두암주공4단지 아파트,"광주광역시 북구 삼정로 10 (두암동', ' 두암주공4단지 아파트)",062-266-0856,복지동 경로당 앞,126.93731614786,35.16305391269
283,광산구,선암동,선운리버프라임아파트,"광주광역시 광산구 선운로 65 (선암동', ' 선운리버프라임)",062-944-9548,후문경비실,126.776899235428,35.1506495051059
284,광산구,선암동,선운리버프라임아파트,"광주광역시 광산구 선운로 65 (선암동', ' 선운리버프라임)",062-944-9548,정문경비실,126.776899235428,35.1506495051059
285,북구,금곡동,무등산국립공원사무소,"광주광역시 북구 무등로 1550', ' 무등산국립공원사무소 (금곡동)",062-230-2043,무등산국립공원사무소 원효분소 내,126.989013592794,35.1439030089947
286,동구,용산동,광주용산LH1단지,"광주광역시 동구 용산2로 20 (용산동', ' 용산엘에이치1단지)",062-229-5031,정문 경비실 내부,126.922210475969,35.1175904462554
287,서구,광천동,선한병원,광주광역시 서구 무진대로 975 (광천동),062-466-1000,2층 CT실 앞,126.886993701955,35.1615812893587
288,북구,용봉동,용봉주공아파트,"광주광역시 북구 매곡로 20 (용봉동', ' 주공아파트)",010-****-****,제 2경비실,126.895515872097,35.1870527246769
289,동구,운림동,국립공원공단무등산국립공원사무소,광주광역시 동구 동산길 29 (운림동),062-230-2042,재난상황실 입구 좌측,126.94833320012,35.1308003767146
290,남구,진월동,한국아델리움,"광주광역시 남구 서문대로627번길 19 (진월동', ' 한국아델리움)",062-651-4034,경로당,126.89509786368,35.1144734634734
291,북구,각화동,주택관리공단광주각화주공관리소,"광주광역시 북구 군왕로207번길 6', ' 각화 영구임대아파트 (각화동)",062-264-4238,관리사무소 내,126.935649515811,35.1796529841534
292,북구,각화동,주택관리공단광주각화주공관리소,"광주광역시 북구 군왕로207번길 6', ' 각화 영구임대아파트 (각화동)",062-264-4238,관리사무소 내,126.935649515811,35.1796529841534
293,남구,임암동,중흥S클래스에코시티,"광주광역시 남구 효천2로 12 (임암동', ' 중흥 에스-클래스 에코시티)",062-674-9131,지하1층 관리사무소 내,126.873254075947,35.1010809080723
294,남구,노대동,빛고을노인건강타운,"광주광역시 남구 덕남길 7', ' 빛고을노인건강타운 (노대동)",062-603-8896,게이트볼장,126.895914495106,35.0994196252406
295,남구,백운동,백운휴먼시아3단지아파트,"광주광역시 남구 백운로 100 (백운동', ' 광주백운3휴먼시아)",062-671-5554,3경비초소 내,126.906877414465,35.1423810198373
296,남구,월산동,라인아파트,"광주광역시 남구 수박등로48번길 7 (월산동', ' 월산동 라인아파트)",010-****-****,라인경로당 2층 실내,126.896435170934,35.1428107875651
297,남구,주월동,경남아파트,"광주광역시 남구 옹정길 21 (주월동', ' 경남아파트)",062-464-7413,경로당 내,126.902624030391,35.1275443975725
298,남구,구동,남구 민방위교육장,"광주광역시 남구 중앙로107번길 15', ' 남구 민방위교육장 (구동)",062-607-2931,남구 민방위교육장,126.910095678933,35.1470732343041
299,남구,지석동,한일베라체,"광주광역시 남구 회재로 211 (지석동', ' 지석동 한일베라체 아파트)",010-****-****,경로당,126.829517719386,35.0836945253702
300,남구,봉선동,남구종합문화예술회관공연장,"광주광역시 남구 봉선로 208', ' 남구종합문화예술회관 1층 공연장 (봉선동)",062-670-5061,1층 공연장,126.917404596072,35.1220637174421
301,남구,진월동,아남아파트,"광주광역시 남구 금당로3길 20 (진월동', ' 아남아파트)",062-652-9732,관리동,126.89330789033,35.1221775832584
302,남구,칠석동,고싸움영상관,"광주광역시 남구 고싸움로 2', ' 고싸움영상관 (칠석동)",062-607-2342,안내데스크 옆,126.837516735818,35.0697438137216
303,남구,월산동,농성초교 민방위대피소,"광주광역시 남구 금화로481번길 7', ' 농성초등학교 (월산동)",062-607-2931,광주 남구 농성초교 민방위대피소,126.890695086316,35.1482285154477
304,남구,백운동,치매안심센터(5층),"광주광역시 남구 백양로 7', ' 광남종합목재건재(주) 5층 (백운동)",062-607-4365,5층 치매안심센터,126.902574209605,35.1338174874217
305,남구,서동,서동아남프라자,"광주광역시 남구 제중로 93', ' 101동 (서동', ' 아남프라자 아파트)",062-672-0115,101동 1층 경로당,126.910010871269,35.1406732331052
306,남구,봉선동,봉선동라인아파트,"광주광역시 남구 봉선로 91 (봉선동', ' 라인아파트)",062-676-2435,관리사무소 내,126.907263288257,35.1261763400087
307,남구,봉선동,명지아파트,"광주광역시 남구 용대로 128 (봉선동', ' 명지아파트)",062-651-9812,서동 경비실 앞,126.919275583118,35.1277899949509
308,남구,봉선동,라인광장1차아파트,"광주광역시 남구 봉선중앙로 105 (봉선동', ' 라인광장아파트)",062-651-6101,101동 1-9라인 앞,126.910673150291,35.1303801585882
309,남구,임암동,중흥S-클래스에코파크,"광주광역시 남구 효천3로 110 (임암동', ' 중흥 S-클래스 에코파크)",062-674-1001,관리사무소,126.875833282555,35.1028795517813
310,남구,주월동,해태아파트1차,"광주광역시 남구 회재로1173번길 40 (주월동', ' 해태아파트)",062-672-5033,경로당 1층,126.891880968328,35.1346066665619
311,남구,서동,남구시니어클럽,광주광역시 남구 중앙로95번길 20 (서동),062-654-6080,사무실 내,126.908232748029,35.1459858777497
312,남구,봉선동,남구문화정보도서관,"광주광역시 남구 봉선로 208', ' 문화정보도서관 (봉선동)",062-607-2527,문화정보도서관 7층,126.917404596072,35.1220637174421
313,광산구,장덕동,수완휴먼시아7단지아파트,"광주광역시 광산구 풍영로329번길 50 (장덕동', ' 신완마을 휴먼시아)",062-954-0577,712동 B1 현관출입구,126.811429328505,35.2019549136579
314,광산구,장덕동,수완휴먼시아7단지아파트,"광주광역시 광산구 풍영로329번길 50 (장덕동', ' 신완마을 휴먼시아)",062-954-0577,703동 B1 현관출입구,126.811429328505,35.2019549136579
315,광산구,신가동,수완아름마을휴먼시아2단지,"광주광역시 광산구 수등로123번길 22 (신가동', ' 아름마을 휴먼시아)",062-956-0820,경로당 입구,126.823301057666,35.1850639739912
316,북구,중흥동,광주역 다사로움 아파트,"광주광역시 북구 서암대로 268 (중흥동', ' 광주역 다사로움)",010-****-****,관리사무소 입구,126.913490656644,35.165466781571
317,북구,동림동,푸른마을주공2단지,"광주광역시 북구 북문대로242번길 50 (동림동', ' 푸른마을 주공1단지', ' 푸른마을 주공2단지)",5135728,203동 앞 경비실 내,126.864975847668,35.1908736546701
318,북구,신용동,광주첨단2휴먼시아아파트,"광주광역시 북구 첨단연신로 245 (신용동', ' 첨단휴먼시아)",5756556,관리사무소 관리동 1층 현관,126.859416400678,35.2078314205047
319,서구,금호동,금호시영3차아파트,"광주광역시 서구 운천로32번길 23 (금호동', ' 금호시영3단지아파트)",010-****-****,정문 경비실,126.862130071855,35.1371575243995
320,동구,학동,전남대학교병원,"광주광역시 동구 제봉로 42', ' 전남대학교병원 (학동)",062-220-5110,"광주광역시 동구 제봉로 42', ' 전남대학교병원제1주차장",126.921984240113,35.1420141967739
321,동구,학동,전남대학교병원,"광주광역시 동구 제봉로 42', ' 전남대학교병원 (학동)",062-220-5110,"광주광역시 동구 제봉로 42', ' 전남대학교병원제2주차장",126.921984240113,35.1420141967739
322,동구,학동,전남대학교병원,"광주광역시 동구 제봉로 42', ' 전남대학교병원 (학동)",062-220-5110,"광주광역시 동구 제봉로 42', ' 전남대학교장례식장",126.921984240113,35.1420141967739
323,동구,지산동,광주고등법원,"광주광역시 동구 준법로 7-12', ' 광주고등법원 (지산동)",062-239-1340,광주고등법원 청사 3층,126.93470038072,35.1511594480371
324,광산구,우산동,우산빛여울채아파트,"광주광역시 광산구 우산로 17 (우산동', ' 우산빛여울채)",062-942-5014,후문경비실,126.804146670316,35.1598237676421
325,동구,서석동,동구 치매안심센터,"광주광역시 동구 서남로 14', ' 서남동주민센터 7층 (서석동)",062-608-3281,"광주광역시 동구 서남로 14', ' 7층 동구치매안심센터",126.923162976621,35.1449509557856
326,동구,지산동,광주고등법원,"광주광역시 동구 준법로 7-12', ' 광주고등법원 (지산동)",062-239-1340,광주고등법원 청사 5층,126.93470038072,35.1511594480371
327,광산구,도산동,송정우방아이유쉘아파트,"광주광역시 광산구 평동로1100번길 71 (도산동', ' 송정우방아이유쉘아파트)",062-942-2888,정문경비실,126.785651085637,35.1314979664444
328,북구,용봉동,전남대학교생활관관리법동,"광주광역시 북구 용봉로 77', ' 전남대학교(생활관 관리동) (용봉동)",062-530-4598,생활관 관리동,126.911144724821,35.1738813321332
329,광산구,쌍암동,힐스테이트리버파크아파트,"광주광역시 광산구 첨단강변로 100 (쌍암동', ' 힐스테이트 리버파크)",062-974-9071,관리사무소,126.853917170053,35.217105218847
330,북구,용봉동,전남대학교생활관관리법동,"광주광역시 북구 용봉로 77', ' 전남대학교(생활관 관리동) (용봉동)",062-530-4598,전남대학교 생활관 관리법동,126.911144724821,35.1738813321332
331,북구,용봉동,전남대학교(생활관행정실앞),"광주광역시 북구 용봉로 77', ' 전남대학교 생활관 행정실 앞 (용봉동)",062-530-4598,전남대학교 생활관 행정실 앞,126.911144724821,35.1738813321332
332,광산구,신촌동,한국공항공사광주지사,광주광역시 광산구 신촌동 704-13,062-940-0352,2층 출발대합실(검색대 옆),126.810912274867,35.13938861719
333,남구,주월동,광주참병원,광주광역시 남구 회재로 1244 (주월동),062-519-7575,5층엘리베이터앞,126.89713756568,35.133749358814
334,남구,주월동,광주참병원,광주광역시 남구 회재로 1244 (주월동),062-519-7575,4층엘리베이터앞,126.89713756568,35.133749358814
335,남구,주월동,광주참병원,광주광역시 남구 회재로 1244 (주월동),062-519-7575,3층엘리베이터앞,126.89713756568,35.133749358814
336,광산구,신촌동,한국공항공사광주지사,광주광역시 광산구 신촌동 704-13,062-940-0352,1층 도착대합실 출입문 옆,126.810912274867,35.13938861719
337,남구,주월동,광주참병원,광주광역시 남구 회재로 1244 (주월동),062-519-7575,1층 원무과앞,126.89713756568,35.133749358814
338,광산구,하남동,하남3지구모아엘가더퍼스트,"광주광역시 광산구 단전둘레길 15 (하남동', ' 하남3지구모아엘가더퍼스트)",062-531-6020,관리사무소 내,126.796126667659,35.1818844775567
339,서구,금호동,만호초등학교,광주광역시 서구 금화로 53 만호초등학교 (금호동),062-370-0272,후관 2층 강당,126.854238968615,35.1327927269047
340,남구,봉선동,봉선초등학교,광주광역시 남구 봉선중앙로118번길 4 봉선초등학교 (봉선동),062-670-4107,봉선초등학교 강당앞,126.912165187848,35.130798760725
341,서구,농성동,새마을금고중앙회광주전남지역본부,광주광역시 서구 상무대로 1114 (농성동),062-361-3001,지역본부 회관 로비,126.883651139836,35.1528362910269
342,남구,봉선동,소화누리은혜의집,광주광역시 남구 용대로74번길 27 (봉선동),062-675-4024,소화누리 은혜의집,126.920617418126,35.1210851789301
343,남구,주월동,남구통합거점경로당,광주광역시 남구 회서로 37 (주월동),062-672-5080,남구통합거점경로당,126.895353669663,35.1301754584142
344,남구,양림동,수피아여자고등학교,광주광역시 남구 백서로 13 (양림동),062-670-3086,수피아여자고등학교 체육관,126.911613966574,35.1371931710119
345,남구,주월동,남구푸른길도서관,광주광역시 남구 금당로 140 (주월동),062-607-2531,도서관 로비,126.895204924992,35.1292085272471
346,남구,봉선동,남구청소년도서관,광주광역시 남구 제석로 100 (봉선동),062-607-2540,남구청소년도서관,126.907742381961,35.1233707579579
347,남구,진월동,남구로컬푸드직매장,광주광역시 남구 화산로57번길 3 (진월동),062-673-6688,남구로컬푸드직매장,126.902713221424,35.1132471962354
348,남구,서동,대한노인회,광주광역시 남구 제중로 92 (서동),062-361-0949,대한노인회 1층,126.91054473342,35.1411570288687
349,남구,월산동,무진중학교,광주광역시 남구 중앙로 7 (월산동),062-350-5321,무진중학교 로비,126.899730465164,35.1459607528445
350,남구,주월동,서진여자고등학교,광주광역시 남구 서문대로742번길 20 (주월동),062-642-1213,서진여자고등학교 체육관,126.899945603913,35.1255597557698
351,남구,방림동,설월여자고등학교,광주광역시 남구 천변좌로604번길 12 (방림동),010-****-****,설월여자고등학교 체육관,126.928594285005,35.1261203872134
352,남구,봉선동,문성고등학교,광주광역시 남구 제석로 73 (봉선동),062-670-7643,문성고등학교 강당앞,126.904988359537,35.1204593851319
353,남구,백운동,서광중학교,광주광역시 남구 진다리로24번길 13 (백운동),062-603-8262,서광중학교 체육관,126.904262396212,35.1363461642827
354,남구,노대동,진남중학교,"광주광역시 남구 노대실로41번길 21', ' 진남중학교 (노대동)",062-717-3475,광주진남중학교,126.908715043184,35.1067585988704
355,남구,주월동,금당중학교,"광주광역시 남구 회재로1156번길 9', ' 금당중학교 (주월동)",062-650-0857,금당중학교,126.888894863656,35.1300756072758
356,남구,백운동,광주백운초등학교,광주광역시 남구 독립로 51 (백운동),062-670-9181,광주백운초등학교,126.899924246836,35.1381742283165
357,남구,주월동,광주제석초등학교,"광주광역시 남구 봉선로51번길 14', ' 제석초등학교 (주월동)",062-650-6790,본관2층 체육관앞,126.906410683122,35.1279326236498
358,남구,행암동,효천초등학교,"광주광역시 남구 효우2로 70', ' 효천초등학교 (행암동)",062-612-8571,효천초등학교강당,126.884110088538,35.1003366949469
359,남구,방림동,숭의중학교,광주광역시 남구 오방로 34-13 (방림동),010-****-****,숭의중학교 체육관,126.923769855646,35.1290241682655
360,남구,지석동,대촌중학교,"광주광역시 남구 고싸움로164번길 28', ' 대촌중학교 (지석동)",062-712-3180,대촌중학교 체육관,126.832935338777,35.0849816602974
361,남구,봉선동,광주불로초등학교,광주광역시 남구 제석로80번길 58-5 (봉선동),062-650-1881,불로초등학교 강당앞,126.914115561548,35.1209504992148
362,남구,봉선동,광주유안초등학교,광주광역시 남구 봉선로175번길 16 (봉선동),062-650-3781,유안초등학교 본관1층,126.914686235114,35.1254853980311
363,남구,주월동,장산초등학교,"광주광역시 남구 회서로 27', ' 장산초등학교 (주월동)",062-650-2350,장산초등학교,126.894831622714,35.1305265383239
364,남구,방림동,방림초등학교,광주광역시 남구 큰방림길 20 (방림동),062-670-7209,방림초등학교강당로비,126.920967366803,35.134042427615
365,남구,월산동,농성초등학교,광주광역시 남구 금화로481번길 7 (월산동),062-360-6503,농성초등학교 체육관,126.890695086316,35.1482285154477
366,남구,진월동,진월초등학교,광주광역시 남구 광복마을4길 40 (진월동),062-670-3119,진월초등학교강당,126.893294704978,35.1210997195927
367,남구,진월동,광주남구진제초등학교,광주광역시 남구 서문대로654번길 45 (진월동),062-717-3900,진제초등학교 체육관 입구,126.903153652946,35.1156507709009
368,남구,주월동,광주봉주초등학교,광주광역시 남구 봉주길 22 (주월동),062-650-6684,체육관,126.891816716168,35.1364800015425
370,북구,충효동,무등산생태탐방원,광주광역시 북구 덕의길 20 무등산생태탐방원 (충효동),062-510-6311,본관(교육동)1층 입구,126.996638158354,35.1807446287088
371,북구,충효동,무등산생태탐방원,광주광역시 북구 덕의길 20 무등산생태탐방원 (충효동),062-510-6311,숙소동 휴게공간,126.996638158354,35.1807446287088
372,북구,충효동,무등산생태탐방원,광주광역시 북구 덕의길 20 무등산생태탐방원 (충효동),062-510-6311,본관(교육동)2층 휴게공간 옆,126.996638158354,35.1807446287088
373,서구,쌍촌동,상무엘리체아파트,광주광역시 서구 월드컵4강로197번길 12 상무엘리체아파트 (쌍촌동),062-385-8980,관리사무소 내(입구),126.868090696127,35.1551431539562
374,서구,금호동,금호중학교,광주광역시 서구 금화로115번길 72 금호중학교(금호동),3700755,체육관 입구,126.861222794193,35.1395844875677
375,광산구,송산동,송산유원지,광주광역시 광산구 송산동 175-1,062-960-7906,공원 내,126.735852512939,35.1606359446004
376,광산구,장덕동,수완호수공원,광주광역시 광산구 장신로 98 (장덕동),062-960-8702,관리사무소 내,126.82013498805,35.1898120633315
377,광산구,안청동,안청공원,광주광역시 광산구 하남산단9번로 62 (안청동),062-960-8685,관리사무소 내,126.802371220673,35.2129818354728
378,광산구,도산동,도산초등학교,"광주광역시 광산구 송정외로 6', ' 도산초등학교 (도산동)",062-940-7174,체육관,126.791752557294,35.1261929101705
381,광산구,월곡동,대반초등학교,광주광역시 광산구 사암로340번길 19 (월곡동),062-958-6877,체육관 내,126.808822369562,35.1758391519355
382,광산구,도덕동,삼도초등학교,광주광역시 광산구 용진로 9 (도덕동),062-949-1515,체육관 내,126.700855861965,35.1643748005745
383,광산구,월계동,정암초등학교,광주광역시 광산구 첨단과기로 104 (월계동),062-970-4119,체육관 내,126.837571787039,35.2229492035674
384,광산구,옥동,평동초등학교,광주광역시 광산구 평동로 741 (옥동),062-949-3506,강당내,126.755047565907,35.1269919387554
385,광산구,월계동,남부대학교시립국제수영장,광주광역시 광산구 첨단중앙로 23 (월계동),062-460-2021,수영장 연습풀,126.84219894858,35.2086092539222
386,광산구,수완동,수완지구대,광주광역시 광산구 수완로 63 (수완동),062-951-9112,지구대 내,126.828466684243,35.1909302918196
387,광산구,도산동,도산파출소,광주광역시 광산구 상무대로 93 (도산동),9417004,파출소 내,126.78542094162,35.1290127747844
388,광산구,하남동,하남파출소,광주광역시 광산구 고봉로 124 (하남동),062-951-8113,파출소 내,126.794526029304,35.1847442032955
389,광산구,하남동,경암공원,광주광역시 광산구 하남대로54번안길 133 (하남동),062-960-8704,공원 내,126.800084180691,35.1782812384698
390,광산구,월계동,월계초등학교,"광주광역시 광산구 첨단내촌로 83', ' 월계초등학교 (월계동)",062-970-4802,체육관,126.834870599518,35.2136003556556
392,광산구,비아동,비아초등학교,광주광역시 광산구 비아동원촌길 19-20 (비아동),062-958-9973,체육관 내,126.825318553436,35.2225617788653
393,광산구,수완동,은빛초등학교,광주광역시 광산구 수완로33번길 11 (수완동),062-712-6373,체육관 내,126.827660333902,35.1877009480916
394,광산구,신가동,큰별초등학교,광주광역시 광산구 수등로 115 (신가동),062-960-2409,체육관 내,126.822096872219,35.1836029181982
395,광산구,선암동,선운초등학교,"광주광역시 광산구 선운중앙로 11', ' 선운초등학교 (선암동)",062-717-9389,본관2층 강당 입구,126.774953541563,35.1494263685655
396,광산구,운수동,광산경찰서,광주광역시 광산구 어등대로 551 (운수동),062-602-3321,경찰서 본관,126.782766508945,35.152794673652
397,광산구,신창동,신창초등학교,광주광역시 광산구 신창로162번길 10 (신창동),9587193,체육관,126.84072373004,35.1981337022771
398,광산구,우산동,우산지구대,광주광역시 광산구 사암로106번길 3 (우산동),062-602-3303,지구대 내,126.807595402518,35.1538772636913
399,광산구,월계동,첨단지구대,광주광역시 광산구 첨단중앙로106번길 65-15 (월계동),9715112,파출소 내,126.84648213591,35.2163109434433
400,광산구,도산동,송정초등학교,"광주광역시 광산구 송도로208번길 25', ' 송정초등학교 (도산동)",062-949-3773,체육관,126.796222900481,35.1315977759523
401,광산구,신가동,선창초등학교,"광주광역시 광산구 신창로35번길 67', ' 선창초등학교 (신가동)",062-958-3270,본관2층 강당,126.834562477483,35.1883360226265
402,광산구,소촌동,광주소방학교,광주광역시 광산구 소촌로152번길 53-84 (소촌동),062-613-8955,생활관 내,126.798295036097,35.1615813685954
403,광산구,산월동,봉산초등학교,광주광역시 광산구 산월로 57 (산월동),9701886,체육관,126.843726156976,35.2095751396035
404,광산구,소촌동,광산문화원,광주광역시 광산구 상무대로 265 (소촌동),9413377,문화원,126.79511720186,35.14248372297
405,동구,계림동,푸른길두산위브아파트,광주광역시 동구 계림로30번길 15 관리사무소 (계림동),062-225-1214,"광주 동구 계림로30번길 15', ' 푸른길두산위브아파트관리사무소",126.925372118739,35.1570631092412
406,북구,두암동,광주동강대학교,광주광역시 북구 동문대로 50 동강대학교 (두암동),010-****-****,동강생활관(기숙사),126.92234609245,35.1694378564351
407,서구,쌍촌동,쌍촌종합사회복지관,"광주광역시 서구 쌍학로 47 (쌍촌동', ' 영구임대아파트)",062-375-0035,쌍촌종합사회복지관 내,126.868831347988,35.1473817149178
408,서구,쌍촌동,시영종합사회복지관,광주광역시 서구 화정로 87-1,062-373-0360,쌍촌시영3차(시영종합사회복지관 내),126.867242615215,35.1461120404885
409,북구,동림동,동림동코오롱하늘채,"광주광역시 북구 동배마을길 29 (동림동', ' 운암산 코오롱하늘채)",062-522-0060,운암산코오롱하늘채 관리소,126.859551105587,35.1794673276903
410,북구,각화동,문화동각화힐스테이트,"광주광역시 북구 군왕로 295 각화 힐스테이트 (각화동', ' 힐스테이트 각화)",010-****-****,광주 각화힐스테이트 관리소,126.937594834734,35.18660976637
411,북구,지야동,광주푸른들사회복지시설,광주광역시 북구 지산마을길 46-39 (지야동),010-****-****,광주 푸른들 2층,126.888789981719,35.2286468312888
412,북구,용봉동,광주전남대학교스포츠센터,광주광역시 북구 용봉로 77 (용봉동),062-530-2584,전남대학교 스포츠센터,126.911144724821,35.1738813321332
413,북구,용두동,첨단이안아파트,"광주광역시 북구 용두마을길 13 (용두동', ' 이안 광주첨단 아파트)",062-573-0081,관리동,126.875876429516,35.2198950660219
414,서구,쌍촌동,상무금호보건지소,광주광역시 서구 운천로172번길 32,062-350-4178,1층 복도,126.860104312855,35.1481814656476
415,서구,치평동,롯데마트상무점,광주광역시 서구 시청로 40 롯데마트상무점 (치평동),062-602-2520,롯데마트상무점1층도와센터앞,126.852422214795,35.1523683644087
416,광산구,송정동,송정중학교,"광주광역시 광산구 내상로15번길 23', ' 송정중학교 (송정동)",062-949-7547,송정중학교 본관 1층,126.796326819876,35.1413723115678
417,광산구,송정동,광주송정역(KTX역),광주광역시 광산구 송정동 1003-1,062-942-3376,연결통로 2층(고속하선 EV 앞),126.79066201909,35.1372122528195
418,광산구,송정동,광주송정역(KTX역),광주광역시 광산구 송정동 1003-1,062-942-3376,연결통로 2층(경전선 EV앞),126.79066201909,35.1372122528195
419,동구,학동,무등산아이파크,"광주광역시 동구 남문로753번길 20 (학동', ' 무등산 아이파크)",062-229-0116,광주 동구 남문로753번길 20,126.922622540343,35.13635035416
420,서구,양동,양동휴먼시아아파트,"광주광역시 서구 발산로 36 양동 휴먼시아 아파트 (양동', ' 양동 휴먼시아)",062-369-8072,관리사무소,126.894958423274,35.1583105741316
421,서구,화정동,유니버시아드힐스테이트1단지,"광주광역시 서구 화운로 94 유니버시아드 힐스테이트 1단지 (화정동', ' 유니버시아드 힐스테이트 1단지)",062-369-9411,관리사무소,126.880645796648,35.1483372020249
422,서구,매월동,아델리움로제비앙아파트,"광주광역시 서구 화개중앙로87번길 15 아델리움 로제비앙 아파트 (매월동', ' 매월동 아델리움&로제비앙 아파트)",062-655-7734,관리사무소,126.852047602507,35.1257699845615
423,북구,동림동,북구다목적체육관,광주광역시 북구 북문대로 200 북구다목적체육관 (동림동),062-714-1391,체육관 복도,126.870961238228,35.1866789662321
426,광산구,우산동,이마트광산점,광주광역시 광산구 사암로 172 (우산동),062-949-1234,1층 고객만족센터 압,126.808579431558,35.1600062566328
427,동구,계림동,이마트동광주점,"광주광역시 동구 중앙로 358 이마트지하1층 고객만족센터 (계림동', ' 금호계림주상복합)",062-519-1050,이마트지하1층고객만족센터,126.920218313556,35.1635918858216
428,광산구,산월동,첨단호반리젠시빌3-3차관리사무소,광주광역시 광산구 첨단중앙로68번길 134 (산월동) 첨단3의3차호반리젠시빌아파트,062-971-6446,경비실 안,126.850734373377,35.2091398862788
429,서구,농성동,농성동동산아파트,"광주광역시 서구 내방로418번길 11 동산아파트 (농성동', ' 동산아파트)",062-361-5588,관리사무소 내부,126.886556493898,35.158603601753
430,북구,오치동,용봉중학교,광주광역시 북구 서하로274번길 33 용봉중 (오치동),062-250-5700,본관1층현관 교장실앞,126.911230705178,35.185570995331
432,북구,양산동,연제초등학교,광주광역시 북구 하서로229번길 47 연제초등학교,062-605-9086,기타,126.873698624443,35.196169776653
433,광산구,선암동,선운리버프라임아파트,"광주광역시 광산구 선운로 65 (선암동', ' 선운리버프라임)",062-944-9548,관리사무소,126.776899235428,35.1506495051059
434,북구,오치동,광주서산초등학교,광주광역시 북구 우치로 263 서산초 (오치동),062-260-8880,본관1층 중앙현관,126.904365729571,35.1891619959727
435,남구,행암동,효천LH천연나무7단지아파트,"광주광역시 남구 행암길 9 (행암동', ' 효천LH천년나무7단지)",062-675-3472,관리동 2층 관리사무소앞,126.895177282312,35.102310037652
436,서구,치평동,우체국금융개발원광주지사,광주광역시 서구 상무중앙로 110 치평동 (치평동),062-375-9150,1층 로비,126.848904172794,35.1565802271515
437,북구,양산동,양지초등학교,"광주광역시 북구 자라봉로63번길 16', ' 양지초등학교 (양산동)",062-605-7773,본관,126.881293638906,35.2084204430133
438,북구,두암동,두암중학교,광주광역시 북구 밤실로208번길 23 두암중 (두암동),062-260-0504,본관,126.935148491457,35.1662077076525
439,북구,문흥동,문정초등학교,광주광역시 북구 대천로169번길 7 문정초 (문흥동),062-260-1619,학교 로비,126.921579348945,35.1894415269047
440,북구,신용동,신용초등학교,광주광역시 북구 첨단연신로 232-10 신용초 (신용동),062-717-3570,본관1층,126.857212433182,35.2106312330176
441,북구,양산동,연제초등학교,광주광역시 북구 하서로229번길 47 연제초등학교,062-605-9086,3층 중앙통로,126.873698624443,35.196169776653
442,북구,오치동,문정여자고등학교,광주광역시 북구 능안로30번길 33 문정여고 (오치동),062-269-2302,문정여자고등학교,126.919451068222,35.1891975754915
443,북구,오치동,문정여자고등학교,광주광역시 북구 능안로30번길 33 문정여고 (오치동),062-269-2302,강당,126.919451068222,35.1891975754915
444,북구,본촌동,본촌건강생활지원센터,광주광역시 북구 양산택지로79번길 24-1 본촌건강생활지원센터 (본촌동),062-410-6226,1층 후문,126.87917288779,35.2142576596167
445,서구,쌍촌동,광주출입국관리사무소,광주광역시 서구 상무대로911번길 22,062-605-5205,현관,126.861914912405,35.1528719673867
446,서구,금호동,엠마우스일터,광주광역시 서구 금호운천길 5,062-371-8801,엠마우스일터 내,126.857470347304,35.136006231948
447,서구,쌍촌동,광주출입국관리사무소,광주광역시 서구 상무대로911번길 22,062-605-5205,호송차량,126.861914912405,35.1528719673867
448,서구,농성동,서구의회,광주광역시 서구 경열로 33,062-368-8783,서구의회 내,126.890112188537,35.1520290256721
449,서구,양동,양동시장주식회사,"광주광역시 서구 천변좌로 238 2층', ' 양동시장(주)",3630815,2층 관리사무실,126.902557729596,35.1539074722757
450,서구,금호동,빛고을국악전수관,광주광역시 서구 풍금로 182,062-350-4571,빛고을국악전수관 내,126.859813867488,35.1319650021537
451,서구,쌍촌동,쌍촌종합사회복지관,"광주광역시 서구 쌍학로 47 (쌍촌동', ' 영구임대아파트)",062-375-0035,쌍촌종합사회복지관 내,126.868831347988,35.1473817149178
452,서구,금호동,금호종합사회복지관,광주광역시 서구 운천로 32번길 23,062-376-3017,금호종합사회복지관 내,126.862130071855,35.1371575243995
453,서구,매월동,평안의집,광주광역시 서구 화개길 17,062-682-5727,평안의집 내,126.856001787062,35.1198636904538
454,서구,금호동,평강의집,광주광역시 서구 금호심곡길27-24,062-382-0324,평강의집 내,126.856154635989,35.1364424690521
455,서구,마륵동,한가족요양원,광주광역시 서구 북촌길 21,062-385-3747,한가족요양원 내,126.849616074127,35.1446850539506
456,서구,화정동,주사랑요양원`,광주광역시 서구 화운로 172,062-368-6388,주사랑요양원 내,126.877034352649,35.1542189324639
457,서구,덕흥동,광주영광원,광주광역시 서구 유덕로 177,062-373-5551,광주영광원 내,126.836029977144,35.1684483440624
458,서구,용두동,사)실버마을,광주광역시 서구 서남길 18,062-368-8266,실버마을 내,126.814547240588,35.0934651149329
459,서구,매월동,베데스다실버홈,광주광역시 서구 회재유통길 64(매월동),062-373-6326,베데스다실버홈 내,126.852408226043,35.113116976909
460,서구,양동,양동시장복개상가,광주광역시 서구 천변좌로 243 양동시장복개상가,3622042,2층 관리사무실,126.903928199529,35.1535989494767
461,서구,양동,양동새마을금고본점,광주광역시 서구 양동시장2길 24 새마을금고본점,3611171,사무실,126.902674763667,35.1527666246082
